"","Player","GP","G","A","P.2","whkye","season","year","type","age","P","league","GP_m1","G_m1","A_m1","P_m1","whkye_m1","league_m1"
"1","Alyssa Gagliardi","15","1","5","6",0.2,"2018-19",2018,"whkye",26,"D","nwhl",NA,NA,NA,NA,NA,NA
"2","Alyssa Gagliardi","16","2","6","8",0.22,"2017-18",2017,"whkye",25,"D","nwhl",15,1,5,6,0.2,"2018-19"
"3","Alyssa Gagliardi","17","0","5","5",0.13,"2016-17",2016,"whkye",24,"D","nwhl",16,2,6,8,0.22,"2017-18"
"4","Alyssa Gagliardi","17","0","6","6",0.14,"2015-16",2015,"whkye",23,"D","nwhl",17,0,5,5,0.13,"2016-17"
"5","Alyssa Gagliardi","21","2","2","4",0.08,"2014-15",2014,"whkye",22,"D","other",17,0,6,6,0.14,"2015-16"
"6","Alyssa Gagliardi","34","9","20","29",0.43741584715,"2013-14",2013,"whkye",21,"D","other",21,2,2,4,0.08,"2014-15"
"7","Alyssa Gagliardi","34","5","13","18",0.29300829838,"2012-13",2012,"whkye",20,"D","other",34,9,20,29,0.43741584715,"2013-14"
"8","Alyssa Gagliardi","35","5","16","21",0.3828263298,"2011-12",2011,"whkye",19,"D","other",34,5,13,18,0.29300829838,"2012-13"
"9","Alyssa Gagliardi","35","1","18","19",0.22250430756,"2010-11",2010,"whkye",18,"D","other",35,5,16,21,0.3828263298,"2011-12"
"10","Amanda Pelkey","16","5","7","12",0.38,"2018-19",2018,"whkye",25,"F","nwhl",NA,NA,NA,NA,NA,NA
"11","Amanda Pelkey","17","2","5","7",0.18,"2016-17",2016,"whkye",23,"F","nwhl",16,5,7,12,0.38,"2018-19"
"12","Amanda Pelkey","16","7","3","10",0.25,"2015-16",2015,"whkye",22,"F","nwhl",17,2,5,7,0.18,"2016-17"
"13","Amanda Pelkey","34","14","17","31",0.43,"2014-15",2014,"whkye",21,"F","other",16,7,3,10,0.25,"2015-16"
"14","Amanda Pelkey","36","21","19","40",0.57121363569,"2013-14",2013,"whkye",20,"F","other",34,14,17,31,0.43,"2014-15"
"15","Amanda Pelkey","25","9","11","20",0.4422766768,"2012-13",2012,"whkye",19,"F","other",36,21,19,40,0.57121363569,"2013-14"
"16","Amanda Pelkey","32","5","9","14",0.28073930852,"2011-12",2011,"whkye",18,"F","other",25,9,11,20,0.4422766768,"2012-13"
"17","Amanda Pelkey","27","16","13","29",0.16760748249,"2010-11",2010,"whkye",17,"F","other",32,5,9,14,0.28073930852,"2011-12"
"18","Blake Bolden","16","1","12","13",0.41,"2018-19",2018,"whkye",27,"D","nwhl",NA,NA,NA,NA,NA,NA
"19","Blake Bolden","20","16","11","27",0.25,"2017-18",2017,"whkye",26,"D","other",16,1,12,13,0.41,"2018-19"
"20","Blake Bolden","17","1","5","6",0.16,"2016-17",2016,"whkye",25,"D","nwhl",20,16,11,27,0.25,"2017-18"
"21","Blake Bolden","18","1","8","9",0.2,"2015-16",2015,"whkye",24,"D","nwhl",17,1,5,6,0.16,"2016-17"
"22","Blake Bolden","22","3","10","13",0.26,"2014-15",2014,"whkye",23,"D","other",18,1,8,9,0.2,"2015-16"
"23","Blake Bolden","23","5","14","19",0.39325982079,"2013-14",2013,"whkye",22,"D","other",22,3,10,13,0.26,"2014-15"
"24","Blake Bolden","37","6","23","29",0.43121975988,"2012-13",2012,"whkye",21,"D","other",23,5,14,19,0.39325982079,"2013-14"
"25","Blake Bolden","37","8","13","21",0.36368501331,"2011-12",2011,"whkye",20,"D","other",37,6,23,29,0.43121975988,"2012-13"
"26","Blake Bolden","36","8","11","19",0.21838385742,"2010-11",2010,"whkye",19,"D","other",37,8,13,21,0.36368501331,"2011-12"
"27","Blake Bolden","29","4","9","13",0.2056230045,"2009-10",2009,"whkye",18,"D","other",36,8,11,19,0.21838385742,"2010-11"
"28","Brianna Decker","23","12","14","26",0.65,"2018-19",2018,"whkye",27,"F","other",NA,NA,NA,NA,NA,NA
"29","Brianna Decker","17","14","17","31",0.81,"2016-17",2016,"whkye",25,"F","nwhl",23,12,14,26,0.65,"2018-19"
"30","Brianna Decker","16","14","15","29",0.71,"2015-16",2015,"whkye",24,"F","nwhl",17,14,17,31,0.81,"2016-17"
"31","Brianna Decker","12","16","16","32",1.18,"2014-15",2014,"whkye",23,"F","other",16,14,15,29,0.71,"2015-16"
"32","Brianna Decker","35","29","26","55",0.86796797822,"2012-13",2012,"whkye",21,"F","other",12,16,16,32,1.18,"2014-15"
"33","Brianna Decker","40","37","45","82",1.30798996015,"2011-12",2011,"whkye",20,"F","other",35,29,26,55,0.86796797822,"2012-13"
"34","Brianna Decker","41","34","46","80",0.8034877773,"2010-11",2010,"whkye",19,"F","other",40,37,45,82,1.30798996015,"2011-12"
"35","Brianna Decker","27","15","12","27",0.45694001,"2009-10",2009,"whkye",18,"F","other",41,34,46,80,0.8034877773,"2010-11"
"36","Casey Pickett","3","1","1","2",0.4,"2016-17",2016,"whkye",29,"F","other",NA,NA,NA,NA,NA,NA
"37","Casey Pickett","7","0","0","0",0,"2015-16",2015,"whkye",28,"F","nwhl",3,1,1,2,0.4,"2016-17"
"38","Casey Pickett","21","6","2","8",0.17,"2014-15",2014,"whkye",27,"F","other",7,0,0,0,0,"2015-16"
"39","Casey Pickett","22","9","6","15",0.32218876884,"2013-14",2013,"whkye",26,"F","other",21,6,2,8,0.17,"2014-15"
"40","Casey Pickett","36","21","26","47",0.72422805826,"2012-13",2012,"whkye",25,"F","other",22,9,6,15,0.32218876884,"2013-14"
"41","Casey Pickett","33","18","23","41",0.79117441492,"2011-12",2011,"whkye",24,"F","other",36,21,26,47,0.72422805826,"2012-13"
"42","Casey Pickett","37","10","10","20",0.22250430756,"2010-11",2010,"whkye",23,"F","other",33,18,23,41,0.79117441492,"2011-12"
"43","Casey Pickett","33","10","7","17",0.2376088052,"2009-10",2009,"whkye",22,"F","other",37,10,10,20,0.22250430756,"2010-11"
"44","Cherie Hendrickson","3","0","0","0",0,"2015-16",2015,"whkye",29,"D","nwhl",NA,NA,NA,NA,NA,NA
"45","Cherie Hendrickson","12","5","9","14",0.19232874531,"2013-14",2013,"whkye",27,"D","other",3,0,0,0,0,"2015-16"
"46","Cherie Hendrickson","20","2","5","7",0.1543162684,"2012-13",2012,"whkye",26,"D","other",12,5,9,14,0.19232874531,"2013-14"
"47","Cherie Hendrickson","21","0","1","1",0.02206009035,"2011-12",2011,"whkye",25,"D","other",20,2,5,7,0.1543162684,"2012-13"
"48","Cherie Hendrickson","23","0","0","0",0,"2010-11",2010,"whkye",24,"D","other",21,0,1,1,0.02206009035,"2011-12"
"49","Corinne Buie","16","3","4","7",0.22,"2018-19",2018,"whkye",26,"F","nwhl",NA,NA,NA,NA,NA,NA
"50","Corinne Buie","15","4","6","10",0.3,"2017-18",2017,"whkye",25,"F","nwhl",16,3,4,7,0.22,"2018-19"
"51","Corinne Buie","17","9","3","12",0.32,"2016-17",2016,"whkye",24,"F","nwhl",15,4,6,10,0.3,"2017-18"
"52","Corinne Buie","18","3","4","7",0.15,"2015-16",2015,"whkye",23,"F","nwhl",17,9,3,12,0.32,"2016-17"
"53","Corinne Buie","20","5","4","9",0.2,"2014-15",2014,"whkye",22,"F","other",18,3,4,7,0.15,"2015-16"
"54","Corinne Buie","21","7","17","24",0.58665184206,"2013-14",2013,"whkye",21,"F","other",20,5,4,9,0.2,"2014-15"
"55","Corinne Buie","35","15","11","26",0.40910592604,"2012-13",2012,"whkye",20,"F","other",21,7,17,24,0.58665184206,"2013-14"
"56","Corinne Buie","37","11","15","26",0.4466307181,"2011-12",2011,"whkye",19,"F","other",35,15,11,26,0.40910592604,"2012-13"
"57","Corinne Buie","35","11","13","24",0.28431105966,"2010-11",2010,"whkye",18,"F","other",37,11,15,26,0.4466307181,"2011-12"
"58","Denna Laing","1","0","0","0",0,"2017-18",2017,"whkye",26,"F","nwhl",NA,NA,NA,NA,NA,NA
"59","Denna Laing","2","0","0","0",0,"2015-16",2015,"whkye",24,"F","nwhl",1,0,0,0,0,"2017-18"
"60","Denna Laing","18","1","1","2",0.05,"2014-15",2014,"whkye",23,"F","other",2,0,0,0,0,"2015-16"
"61","Denna Laing","31","13","14","27",0.44770798473,"2013-14",2013,"whkye",22,"F","other",18,1,1,2,0.05,"2014-15"
"62","Denna Laing","27","3","7","10",0.20455296302,"2012-13",2012,"whkye",21,"F","other",31,13,14,27,0.44770798473,"2013-14"
"63","Denna Laing","31","11","11","22",0.45301115693,"2011-12",2011,"whkye",20,"F","other",27,3,7,10,0.20455296302,"2012-13"
"64","Denna Laing","31","8","10","18",0.23898610812,"2010-11",2010,"whkye",19,"F","other",31,11,11,22,0.45301115693,"2011-12"
"65","Emily Field","15","2","3","5",0.17,"2018-19",2018,"whkye",25,"F","nwhl",NA,NA,NA,NA,NA,NA
"66","Emily Field","16","5","7","12",0.34,"2017-18",2017,"whkye",24,"F","nwhl",15,2,3,5,0.17,"2018-19"
"67","Emily Field","15","3","3","6",0.18,"2016-17",2016,"whkye",23,"F","nwhl",16,5,7,12,0.34,"2017-18"
"68","Emily Field","18","4","3","7",0.15,"2015-16",2015,"whkye",22,"F","nwhl",15,3,3,6,0.18,"2016-17"
"69","Emily Field","38","9","20","29",0.36,"2014-15",2014,"whkye",21,"F","other",18,4,3,7,0.15,"2015-16"
"70","Emily Field","37","14","18","32",0.44256191594,"2013-14",2013,"whkye",20,"F","other",38,9,20,29,0.36,"2014-15"
"71","Emily Field","37","16","29","45",0.67447193212,"2012-13",2012,"whkye",19,"F","other",37,14,18,32,0.44256191594,"2013-14"
"72","Emily Field","37","13","19","32",0.54871773938,"2011-12",2011,"whkye",18,"F","other",37,16,29,45,0.67447193212,"2012-13"
"73","Gigi Marvin","15","10","6","16",0.55,"2018-19",2018,"whkye",31,"D","nwhl",NA,NA,NA,NA,NA,NA
"74","Gigi Marvin","16","4","10","14",0.39,"2016-17",2016,"whkye",29,"D","nwhl",15,10,6,16,0.55,"2018-19"
"75","Gigi Marvin","16","5","9","14",0.34,"2015-16",2015,"whkye",28,"D","nwhl",16,4,10,14,0.39,"2016-17"
"76","Gigi Marvin","15","2","3","5",0.14549819592,"2012-13",2012,"whkye",25,"D","other",16,5,9,14,0.34,"2015-16"
"77","Gigi Marvin","27","11","21","32",0.52503015033,"2011-12",2011,"whkye",24,"D","other",15,2,3,5,0.14549819592,"2012-13"
"78","Hayley Moore","26","9","5","14",0.2611330704,"2010-11",2010,"whkye",NA,"F","other",NA,NA,NA,NA,NA,NA
"79","Hayley Moore","2","0","0","0",0,"2015-16",2015,"whkye",NA,"F","nwhl",26,9,5,14,0.2611330704,"2010-11"
"80","Hilary Knight","23","8","9","17",0.43,"2018-19",2018,"whkye",29,"F","other",NA,NA,NA,NA,NA,NA
"81","Hilary Knight","1","0","0","0",0,"2017-18",2017,"whkye",28,"F","other",23,8,9,17,0.43,"2018-19"
"82","Hilary Knight","10","8","7","15",0.67,"2016-17",2016,"whkye",27,"F","nwhl",1,0,0,0,0,"2017-18"
"83","Hilary Knight","17","15","18","33",0.76,"2015-16",2015,"whkye",26,"F","nwhl",10,8,7,15,0.67,"2016-17"
"84","Hilary Knight","13","8","14","22",0.75,"2014-15",2014,"whkye",25,"F","other",17,15,18,33,0.76,"2015-16"
"85","Hilary Knight","4","4","4","8",0.947614026,"2013-14",2013,"whkye",24,"F","other",13,8,14,22,0.75,"2014-15"
